lat,lon
40.73701257,-74.09869414
40.70012852,-74.07641287
40.73795262,-74.05831839
40.72566044,-74.10177768
40.7422439,-74.05107651
40.70861805,-74.06174984
40.70076921,-74.08619437
40.71296247,-74.08729956
40.72447297,-74.07061898
40.74330176,-74.04661114
40.7242984,-74.07815216
40.73732716,-74.05614813
40.73608738,-74.10250866
40.73402634,-74.08997866
40.72285157,-74.07634762
40.71629959,-74.04026103
40.70378889,-74.09654976
40.70779949,-74.05823235
40.7105386,-74.055374
40.72457559,-74.06521399
40.7376499,-74.08624599
40.70675254,-74.09935804
40.71193206,-74.06329436
40.70976747,-74.04720315
40.73242943,-74.10444115
40.70875752,-74.06133379
40.72962588,-74.03419565
40.71906334,-74.04554607
40.71064439,-74.05460322
40.71136448,-74.07684486
40.70886884,-74.0411139
40.73701131,-74.07752958
40.706379,-74.0621738
40.70636525,-74.09570409
40.71926839,-74.10472978
40.71282562,-74.05330143
40.73243452,-74.06367544
40.72703785,-74.0654349
40.71144598,-74.04997272
40.74328225,-74.05020232
40.71990828,-74.09724113
40.71487947,-74.09633242
40.7097151,-74.06903529
40.72076671,-74.08630522
40.72906233,-74.03957339
40.74033703,-74.06299676
40.69930312,-74.06303649
40.72703652,-74.09710544
40.72821893,-74.07596737
40.73856387,-74.06693591
40.70531287,-74.09698667
40.73575185,-74.05752084
40.71096936,-74.04694487
40.74214499,-74.08550846
40.70275317,-74.0442129
40.69960246,-74.09341969
40.72108702,-74.08101263
40.72866508,-74.05083665
40.74123271,-74.05215961
40.74839856,-74.07210102
40.71049294,-74.06486007
40.74126355,-74.04954002
40.73129439,-74.05256918
40.7042012,-74.04257989
40.70070171,-74.09460031
40.70604076,-74.05207424
40.70453833,-74.09999172
40.73655161,-74.0917884
40.70648946,-74.09325073
40.71390524,-74.06324377
40.72124557,-74.10311848
40.7050186,-74.08536154
40.73962245,-74.0643059
40.73868822,-74.05003321
40.74093018,-74.0583224
40.72642451,-74.08202159
40.7142483,-74.06721062
40.72085753,-74.0418634
40.74426591,-74.0598387
40.74328856,-74.08437025
40.72797971,-74.10377343
40.71064725,-74.06295962
40.70089164,-74.07356274
40.74154915,-74.05650315
40.72567708,-74.09207
40.73613755,-74.0951277
40.71964341,-74.09303936
40.72303635,-74.07473898
40.73896501,-74.09990063
40.72297803,-74.03552853
40.73216212,-74.06809364
40.73041723,-74.10616781
40.69636162,-74.06758305
40.7366099,-74.05335552
40.70860205,-74.06281029
40.7309497,-74.06463753
40.7005645,-74.04577813
40.73585142,-74.09554532
40.7390217,-74.09283975
40.70935059,-74.08930386
40.71004786,-74.07651107
40.73790512,-74.06741108
40.72558645,-74.04183068
40.7138664,-74.07733519
40.70785225,-74.08330595
40.72093065,-74.0359212
40.72851578,-74.06535889
40.73411894,-74.05880302
40.71513595,-74.07786152
40.70317728,-74.07622987
40.73957642,-74.07560148
40.73165499,-74.10498177
40.72013475,-74.09896344
40.72658233,-74.03419961
40.70789591,-74.05477665
40.7488726,-74.06565713
40.73300248,-74.07233872
40.72472427,-74.09216848
40.73888601,-74.0973489
40.72213602,-74.09430348
40.73453072,-74.0616182
40.7114551,-74.06690091
40.71155383,-74.03592334
40.72094219,-74.03372205
40.71140702,-74.04991485
40.70359791,-74.06224975
40.70316148,-74.05272042
40.72052123,-74.05872333
40.72773597,-74.0627703
40.70459316,-74.09966073
40.72917622,-74.06298336
40.72862895,-74.04608282
40.72484628,-74.07182466
40.72158781,-74.06916504
40.71827533,-74.05452372
40.69593316,-74.06810653
40.73217889,-74.06380839
40.70279038,-74.0924151
40.70284042,-74.09781589
40.71079375,-74.05903052
40.71275745,-74.04357936
40.69961265,-74.08429357
40.72755801,-74.05622211
40.74552925,-74.05315718
40.70477472,-74.04109195
40.73639978,-74.07140449
40.73707234,-74.10194399
40.70034715,-74.05406042
40.70367473,-74.09563609
40.71537836,-74.07111447
40.69408026,-74.07354246
40.73218359,-74.04985449
40.72963746,-74.03990705
40.72831157,-74.09609071
40.73896902,-74.08377706
40.71100331,-74.09022549
40.7202794,-74.04564218
40.70693412,-74.07478739
40.7339363,-74.05339199
40.74751971,-74.06037024
40.71020671,-74.09149429
40.72690505,-74.1074197
40.70915661,-74.06473288
40.73348893,-74.03902588
40.71513858,-74.05183641
40.73588483,-74.07933021
40.70292878,-74.07603225
40.73112803,-74.08971407
